idlenfour,title,word,pinyin,pointnm,flnm
7474,竖提的写法与应用（良）,良,liang,,7474__liang
7475,失信不立+失+信+不+立,立,li,,7475__li
7476,先横后竖（古）,古,gu,,7476__gu
7477,先横后竖（木）,木,mu,,7477__mu
7478,先横后竖（丰）,丰,feng,,7478__feng
7479,先撇后捺（人）,人,ren,,7479__ren
7480,先撇后捺（个）,个,ge_a,,7480__ge_a
7481,先撇后捺（本）,本,ben,,7481__ben
7482,从上到下（它）,它,ta_it,,7482__ta_it
7483,从上到下（云）,云,yun,,7483__yun
7484,从上到下（亏）,亏,kui,,7484__kui
7485,从左到右（川）,川,chuan,,7485__chuan
7486,从左到右（叶）,叶,ye,,7486__ye
7487,从左到右（羽）,,,,
7488,先外后里（月）,月,yue_m,,7488__yue_m
7489,先外后里（凡）,凡,fan_or,,7489__fan_or
7490,先外后里（闪）,闪,shan,,7490__shan
7491,先外后里再封口（回）,,,,
7492,先外后里再封口（团）,,,,
7493,先外后里再封口（困）,,,,
7494,先中间后两边（水）,水,shui,,7494__shui
7495,先中间后两边（业）,,,,
7497,先中间后两边（丞）,,,,
7499,机不可失，时不再来。+机+时,,,,
7500,点在上部的写法与应用（义）,义,yi,,7500__yi
7501,点在上部的写法与应用（门）,门,men,,7501__men
7502,点在上部的写法与应用（衣）,衣,yi_close,,7502__yi_close
7503,点在右上的写法与应用（犬）,犬,quan,,7503__quan
7504,点在右上的写法与应用（发）,发,fa,,7504__fa
7505,点在右上的写法与应用（龙）,龙,long_d,,7505__long_d
7506,点在里面的写法与应用（叉）,叉,cha_fork,,7506__cha_fork
7507,点在里面的写法与应用（雨）,,,,
7508,点在里面的写法与应用（母）,,,,
7509,不知则问，不能则学。+则+能,,,,
7510,左上包围结构（左）,左,zuo_left,,7510__zuo_left
7511,左上包围结构（厅）,厅,ting,,7511__ting
7512,左上包围结构（店）,,,,
7515,右上包围结构（句）,句,ju,,7515__ju
7516,右上包围结构（可）,可,ke,,7516__ke
7517,右上包围结构（匀）,匀,yun_dis,,7517__yun_dis
7518,左下包围结构（过）,过,guo,,7518__guo
7519,左下包围结构（处）,处,chu,,7519__chu
7520,左下包围结构（旭）,,,,
7522,左下右包围结构（山）,山,shan_m,,7522__shan_m
7523,左下右包围结构（凶）,凶,xiong,,7523__xiong
7524,左下右包围结构（函）,,,,
7525,左上右包围结构（凤）,凤,feng_bird,,7525__feng_bird
7526,左上右包围结构（网）,网,wang,,7526__wang
7527,左上右包围结构（周）,,,,
7528,上左下包围结构（巨）,巨,ju_huge,,7528__ju_huge
7529,上左下包围结构（匹）,匹,pi,,7529__pi
7530,上左下包围结构（医）,,,,
7531,《风》+解+落,,,,
7532,《风》+浪+斜,,,,
